engine,action_id,run_id,payment_intent_id,related_attempt_id,action_type,retry_number,scheduled_for,executed_at,created_at,outcome,reason,schedule_reason,failure_code,failure_reason,payment_method,customer_declined,amount,cost,expected_recovery,metadata_json,source
BASELINE,6f3d5a4e-b509-4f0f-8f79-e067106c1d0e,b03c9435-7d22-4661-9631-eb6061fe7f2c,b49b60b9-f5d4-4a98-ae70-c634ef154593,,RETRY,1,2024-12-30T22:00:00+00:00,2026-09-04T11:59:29.134944+00:00,2026-09-04T11:59:28.406378+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,234.82,,,"{'outcome': 'SETTLED', 'intent_id': 'b49b60b9-f5d4-4a98-ae70-c634ef154593', 'person_id': 'a2d72a48-dfbb-4bcc-925d-503e9434e20c', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:29.134944+00:00', 'merchant_id': 'd383cd49-6def-4cc0-b131-35f76eb056c8', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '28c1e07a-b240-4ae2-aab0-72a474cb2b2b', 'failure_timestamp': '2024-12-30T10:00:00+00:00', 'primary_account_id': 'ecf7b53f-e173-44a1-bc38-42b3d9c64449'}",lifetime
BASELINE,f6f6dc02-97fa-41fe-b8d3-93bdf0b3ea9f,b03c9435-7d22-4661-9631-eb6061fe7f2c,f9116ab1-0e7e-46a3-a30b-008aa2acf953,,RETRY,1,2024-12-29T07:00:00+00:00,2026-09-04T11:59:27.021099+00:00,2026-09-04T11:59:26.709222+00:00,SUCCESS,retry_scheduled,retry_scheduled,INVALID_DETAILS,Incorrect payment details (CVV/account),CARD,False,1347.65,,,"{'outcome': 'SETTLED', 'intent_id': 'f9116ab1-0e7e-46a3-a30b-008aa2acf953', 'person_id': '5c3ca815-5900-4bd0-86c9-0c8d5404136c', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:27.021099+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'c487ca0d-62d8-4897-9b50-706288d74045', 'failure_timestamp': '2024-12-28T19:00:00+00:00', 'primary_account_id': '7e93e66d-481b-4f6a-8b97-75c0f74d07c7'}",lifetime
BASELINE,7001c8bc-ba54-4cd8-ac66-e88075dc5b89,b03c9435-7d22-4661-9631-eb6061fe7f2c,3bf006df-ec1a-4677-baee-0fc96b06fadc,,RETRY,2,2024-12-28T10:00:00+00:00,2026-09-04T11:59:25.966550+00:00,2026-09-04T11:59:25.633533+00:00,SUCCESS,retry_scheduled,retry_scheduled,INSUFFICIENT_FUNDS,Customer balance insufficient at retry time,UPI,False,706.82,,,"{'outcome': 'SETTLED', 'intent_id': '3bf006df-ec1a-4677-baee-0fc96b06fadc', 'person_id': '8577c6a3-82e8-4808-a9ec-59a778ab9125', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:25.966550+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 2, 'retry_attempt_id': 'c1e3fb6d-1e6e-4461-a418-82d7499f932b', 'failure_timestamp': '2024-12-27T22:00:00+00:00', 'primary_account_id': '3964d30f-0022-4485-b9b6-23d748163798'}",lifetime
BASELINE,64fcb12f-180e-45f3-9939-ad755ba2c131,b03c9435-7d22-4661-9631-eb6061fe7f2c,894d25d2-ca53-49ca-bf5c-f6348a40c80a,,RETRY,1,2024-12-28T07:00:00+00:00,2026-09-04T11:59:25.738818+00:00,2026-09-04T11:59:25.407779+00:00,SUCCESS,retry_scheduled,retry_scheduled,ISSUER_DECLINE,Temporary decline by issuing bank,UPI,False,4068.38,,,"{'outcome': 'SETTLED', 'intent_id': '894d25d2-ca53-49ca-bf5c-f6348a40c80a', 'person_id': '8fc99664-2ea4-4c70-b0ca-c5c86458fdbe', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:25.738818+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '4231c6c8-06f3-4252-a26c-81dc56fd883c', 'failure_timestamp': '2024-12-27T19:00:00+00:00', 'primary_account_id': 'c94c5a71-bba8-43b4-aebd-182e1583690c'}",lifetime
BASELINE,c6feec93-1789-47d0-9a2d-54a70b21baf6,b03c9435-7d22-4661-9631-eb6061fe7f2c,23db16ae-5d82-4852-887e-d2def0820262,,RETRY,1,2024-12-28T06:00:00+00:00,2026-09-04T11:59:25.702332+00:00,2026-09-04T11:59:25.292499+00:00,SUCCESS,retry_scheduled,retry_scheduled,LIMIT_EXCEEDED,Transaction / daily limit exceeded,UPI,False,4262.91,,,"{'outcome': 'SETTLED', 'intent_id': '23db16ae-5d82-4852-887e-d2def0820262', 'person_id': '88bb39d0-0fef-4b67-ab81-0caa35b82da5', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:25.702332+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'fb00d23c-d429-4098-b6f5-4369b65be9d5', 'failure_timestamp': '2024-12-27T18:00:00+00:00', 'primary_account_id': '9b1d0211-7847-4e88-b104-0b038a94ded6'}",lifetime
BASELINE,bad6d9d8-a152-4b6a-b931-f617c20ef1c4,b03c9435-7d22-4661-9631-eb6061fe7f2c,f68dab6e-2193-47b7-be70-e87d31c36494,,RETRY,2,2024-12-27T10:00:00+00:00,2026-09-04T11:59:24.518777+00:00,2026-09-04T11:59:24.228565+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,4041.40,,,"{'outcome': 'SETTLED', 'intent_id': 'f68dab6e-2193-47b7-be70-e87d31c36494', 'person_id': '99582b7b-7754-457b-886d-eac2f056d161', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:24.518777+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 2, 'retry_attempt_id': 'c3b228dc-075c-463e-855a-7b4153f84859', 'failure_timestamp': '2024-12-26T22:00:00+00:00', 'primary_account_id': 'b7f23ed0-b232-4f5a-bb66-e680104540c7'}",lifetime
BASELINE,1707c9cc-52c6-4431-bcbb-7b42400f3492,b03c9435-7d22-4661-9631-eb6061fe7f2c,f7ae072c-822c-4627-bb37-8627c4d1af35,,RETRY,1,2024-12-27T07:00:00+00:00,2026-09-04T11:59:24.361662+00:00,2026-09-04T11:59:24.013045+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,1029.58,,,"{'outcome': 'SETTLED', 'intent_id': 'f7ae072c-822c-4627-bb37-8627c4d1af35', 'person_id': 'ac18e72a-90b4-42d9-ae3c-a94aeda17b23', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:24.361662+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'b3ad5721-813a-448e-8471-0acc3d3a4e2b', 'failure_timestamp': '2024-12-26T19:00:00+00:00', 'primary_account_id': '8e882360-147e-45d8-bd68-0cfbc74d1be1'}",lifetime
BASELINE,c617e920-6be9-4694-ae39-5f006d72f176,b03c9435-7d22-4661-9631-eb6061fe7f2c,be265511-5ba2-42a2-972a-2c2d54e22bcd,,RETRY,1,2024-12-27T07:00:00+00:00,2026-09-04T11:59:24.360662+00:00,2026-09-04T11:59:24.009501+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,3822.88,,,"{'outcome': 'SETTLED', 'intent_id': 'be265511-5ba2-42a2-972a-2c2d54e22bcd', 'person_id': '4207a63f-9b55-484d-8dee-75641025e282', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:24.360662+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '8375bc7d-2d95-424a-8bb7-27e14bfb217b', 'failure_timestamp': '2024-12-26T19:00:00+00:00', 'primary_account_id': 'b8e73fdf-0f50-462a-95e3-02741337f867'}",lifetime
BASELINE,91f1091e-725f-43d5-92de-131f6a5a79b3,b03c9435-7d22-4661-9631-eb6061fe7f2c,abcc292e-1782-483e-984e-6f55a725f27e,,RETRY,1,2024-12-27T03:00:00+00:00,2026-09-04T11:59:24.315773+00:00,2026-09-04T11:59:23.723203+00:00,SUCCESS,retry_scheduled,retry_scheduled,TIMEOUT,Bank response timed out / unknown outcome,UPI,False,8109.10,,,"{'outcome': 'SETTLED', 'intent_id': 'abcc292e-1782-483e-984e-6f55a725f27e', 'person_id': '3b9589a7-ba7a-4f88-9ed8-bb931f0d50b0', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:24.315773+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'eca743c1-d3f0-44a2-971b-d677b655db90', 'failure_timestamp': '2024-12-26T15:00:00+00:00', 'primary_account_id': '1ec6898d-1be7-4ce2-bf2b-9b21fa46ac5a'}",lifetime
BASELINE,a26bdc43-1067-42ea-b345-8d63f5101ed3,b03c9435-7d22-4661-9631-eb6061fe7f2c,14161416-d381-4d86-a366-ef1539d09d7f,,RETRY,1,2024-12-26T03:00:00+00:00,2026-09-04T11:59:22.937666+00:00,2026-09-04T11:59:22.346414+00:00,SUCCESS,retry_scheduled,retry_scheduled,TIMEOUT,Bank response timed out / unknown outcome,CARD,False,8855.52,,,"{'outcome': 'SETTLED', 'intent_id': '14161416-d381-4d86-a366-ef1539d09d7f', 'person_id': 'd234d01c-4b62-4d27-8bca-cd721047c0ea', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:22.937666+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '74066bc2-281e-45ce-9245-874e60f36d7a', 'failure_timestamp': '2024-12-25T15:00:00+00:00', 'primary_account_id': 'd03e3a08-d5ce-4ddf-9dfa-82c2b3939ca9'}",lifetime
